trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
512,False,"{'a': 0.4, 'e': 0.0059760228950059445}",20,12,12.71531598507989,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
513,False,"{'a': 0.4, 'e': 0.005916560473681859}",20,13,16.186198731848492,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
514,False,"{'a': 0.4, 'e': 0.005857689713335624}",30,13,33.33969959851567,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
515,False,"{'a': 0.4, 'e': 0.005799404726842143}",25,9,28.06524195577608,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
516,False,"{'a': 0.4, 'e': 0.005741699685654204}",20,13,12.377462537895934,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
517,False,"{'a': 0.4, 'e': 0.005684568819219597}",20,12,16.03600698506744,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
518,False,"{'a': 0.4, 'e': 0.005628006414404067}",25,0,40.83931613259895,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
519,False,"{'a': 0.4, 'e': 0.005572006814919994}",25,3,35.57532619567999,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
520,False,"{'a': 0.4, 'e': 0.005516564420760773}",30,20,18.38734687886128,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
521,False,"{'a': 0.4, 'e': 0.00546167368764078}",25,13,25.999274049023867,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
522,False,"{'a': 0.4, 'e': 0.005407329126440961}",30,20,18.783286666804123,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
523,False,"{'a': 0.4, 'e': 0.005353525302659904}",30,18,22.050935371181072,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
524,False,"{'a': 0.4, 'e': 0.005300256835870404}",20,6,25.782038420304467,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
525,False,"{'a': 0.4, 'e': 0.0052475183991813855}",20,16,5.463237306726297,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
526,False,"{'a': 0.4, 'e': 0.005195304718705233}",30,8,45.61707638520362,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
527,False,"{'a': 0.4, 'e': 0.00514361057303038}",25,16,21.406580732566056,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
528,False,"{'a': 0.4, 'e': 0.005092430792699192}",20,15,10.176819750483709,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
529,False,"{'a': 0.4, 'e': 0.005041760259690981}",20,12,18.127253174711548,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
530,False,"{'a': 0.4, 'e': 0.004991593906910219}",20,12,15.719806452988731,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,13,27.60248118720067,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
